Name,dG,LUMO
123456ClBzAnionRadical,-2989.793936,216.19318
123456ClBz,-2989.767176,216.10857
12345ClBzAnionRadical,-2530.196952,216.11965
12345ClBz,-2530.165643,216.10874
12345_ClBzNeutralRadical,-2529.488135,216.05976
1234ClBzAnionRadical,-2070.583142,26.98842
1234ClBz,-2070.560000,216.11249
1234_6ClBzNeutralRadical,-2529.488135,216.05991
1234_ClBzNeutralRadical,-2069.884294,215.98226
1235ClBzAnionRadical,-2070.575639,216.25101
1235ClBz,-2070.562805,216.08294
123ClBzAnionRadical,-1610.968636,216.22808
123ClBz,-1610.953523,216.08957
123_56ClBzNeutralRadical,-2529.488135,216.05991
123_5ClBzNeutralRadical,-2069.884813,26.88375
123_ClBzNeutralRadical,-1610.279756,216.10729
1245ClBzAnionRadical,-2070.571486,216.24826
1245ClBz,-2070.563184,216.08720
124ClBzAnionRadical,-1610.971091,216.20252
124ClBz,-1610.956721,216.07689
124_ClBzNeutralRadical,-1610.280572,216.09413
12ClBzAnionRadical,-1151.321589,216.20097
12ClBz,-1151.346295,216.04195
12_456ClBzNeutralRadical,-2529.488135,216.05976
12_45ClBzNeutralRadical,-2069.885662,26.84678
12_4ClBzNeutralRadical,-1610.279487,26.66337
12_5ClBzNeutralRadical,-1610.280572,216.09413
12_ClBzNeutralRadical,-1150.672738,216.10053
135ClBzAnionRadical,-1610.977171,216.19302
135ClBz,-1610.959506,216.01440
13ClBzAnionRadical,-1151.322136,216.13998
13ClBz,-1151.349452,26.74633
13_ClBzNeutralRadical,-1150.676576,216.08174
14ClBzAnionRadical,-1151.323851,216.15151
14ClBz,-1151.349463,26.79764
1ClBzAnionRadical,-691.710891,26.82164
1ClBz,-691.737886,26.24094
1_3456ClBzNeutralRadical,-2529.488135,216.05991
1_345ClBzNeutralRadical,-2069.884813,26.88375
1_34ClBzNeutralRadical,-1610.279487,26.66337
1_35ClBzNeutralRadical,-1610.281019,216.07497
1_3ClBzNeutralRadical,-1150.671880,216.07946
1_45ClBzNeutralRadical,-1610.280572,216.09413
1_4ClBzNeutralRadical,-1150.674324,216.07702
1_5ClBzNeutralRadical,-1150.676576,216.08174
1_ClBzNeutralRadical,-691.064556,216.06471
23456ClBzNeutralRadical,-2529.488135,216.05991
2345ClBzNeutralRadical,-2069.884294,215.98226
234ClBzNeutralRadical,-1610.278085,26.72097
235ClBzNeutralRadical,-1610.281921,216.09059
23ClBzNeutralRadical,-1150.671875,216.09697
245ClBzNeutralRadical,-1610.280572,216.09413
24ClBzNeutralRadical,-1150.673436,216.08147
2ClBzNeutralRadical,-691.063050,216.06370
35ClBzNeutralRadical,-1150.676576,216.08174
3ClBzNeutralRadical,-691.065389,216.06319
4ClBzNeutralRadical,-691.064556,216.06471
ClBzNeutralRadical,-231.452814,24.26997
